Size,Number of rooms,Location,Distance of the center,Years of construction,Date,Country,Build quality,Price final
0.935725849,0.921034387,0.050417006,0.173084573,0.139500471,12/09/1995,Ghana,7,643428
0.945853537,0.084170437,0.211670827,0.080723305,0.980385349,17/06/2015,Christmas Island,4,939085
0.425973032,0.190178136,0.221489725,0.443040009,0.768222671,22/10/2001,Cocos (Keeling) Islands,8,149126
0.599944291,0.237729362,0.584218621,0.387130893,0.034368206,05/04/2008,South Georgia and the South Sandwich Islands,5,951468
0.293111879,0.322832389,0.065940888,0.615047449,0.849242364,15/12/1997,Niger,7,357705
0.956611854,0.745072615,0.567163559,0.305531166,0.220798018,12/08/2022,Paraguay,10,893407
0.520599817,0.073709819,0.512194477,0.822744031,0.946799278,17/03/2016,Netherlands Antilles,3,645114
0.568347251,0.890312491,0.75124403,0.965261869,0.960032538,12/01/2010,Myanmar,7,432505
0.530523091,0.214601995,0.194869082,0.081084341,0.795545276,03/08/2006,United Arab Emirates,8,419317
0.608315366,0.673633355,0.29167375,0.457294279,0.412317578,26/08/2009,Anguilla,5,241192
0.622084506,0.037431977,0.819917019,0.106037756,0.403696434,15/08/1994,Malta,4,141841
0.652908105,0.65970294,0.652526317,0.163467938,0.255732327,06/05/2000,Bolivia,8,305769
0.067528187,0.428761508,0.871253906,0.769465994,0.822442125,14/09/2009,Mongolia,8,398242
0.309655274,0.03065949,0.150019362,0.562014655,0.157660595,14/10/1994,Belarus,3,844243
0.259488023,0.695453123,0.255502824,0.728760464,0.995863875,30/11/2008,Czech Republic,6,663418
0.900591901,0.051179736,0.725006824,0.023322332,0.174555495,07/10/1999,Mali,5,707982
0.820499378,0.376086713,0.840028451,0.96543956,0.435536243,31/01/2014,Saudi Arabia,2,866504
0.934834802,0.256744087,0.611249373,0.324720228,0.21693318,07/02/2001,Portugal,8,949793
0.882085479,0.351392889,0.552668536,0.642133795,0.414650178,22/02/2008,Korea,6,754778
0.12501082,0.144020358,0.890857615,0.988008043,0.288937851,12/11/2000,New Zealand,2,597531
